date,value
aefhi-gbtACC,0.6278197963238947
aefhi-logROC,0.6692998982143216
aefhi-gbtROC,0.6757834709736144
aefgi-logACC,0.5866411307271961
aefgi-gbtACC,0.6033834212235851
aefgi-logROC,0.6234744331185149
aefgi-gbtROC,0.6455972710948936
aefgh-logACC,0.6272949673277542
aefgh-gbtACC,0.6343769249875807
aefgh-logROC,0.6735739781445251
aefgh-gbtROC,0.6803062861000133
aefghi-logACC,0.6269453647445451
aefghi-gbtACC,0.640016240590011
aefghi-logROC,0.6728379223123084
aefghi-gbtROC,0.6861379869579076
adghi-logACC,0.6231864324200389
adghi-gbtACC,0.6349017826435859
adghi-logROC,0.6670742034502881
adghi-gbtROC,0.6842200956977539
adfhi-logACC,0.6287378195574916
adfhi-gbtACC,0.6346390863235125
adfhi-logROC,0.6783694216952824
adfhi-gbtROC,0.6872587723731867
adfgi-logACC,0.589045397225725
adfgi-gbtACC,0.6028153731514386
adfgi-logROC,0.6181512769839699
adfgi-gbtROC,0.6435529452683062
adfgh-logACC,0.6310548263212198
adfgh-gbtACC,0.6399282739118805
adfgh-logROC,0.6788215000049822
adfgh-gbtROC,0.6916815243533119
adfghi-logACC,0.6313172551492224
adfghi-gbtACC,0.6440375539760785
adfghi-logROC,0.6805915463817565
adfghi-gbtROC,0.6970930943183931
adehi-logACC,0.6295682582444877
adehi-gbtACC,0.6437755645993352
adehi-logROC,0.6809667798162718
adehi-gbtROC,0.6953221901544369
adegi-logACC,0.5959960258320913
adegi-gbtACC,0.6158858955252398
adegi-logROC,0.6259685113975626
adegi-gbtROC,0.6588599882076226
adegh-logACC,0.6345516641828117
adegh-gbtACC,0.6479720852917574
adegh-logROC,0.68191710007328
adegh-gbtROC,0.698260078093048
adeghi-logACC,0.6331966448851695
adeghi-gbtACC,0.6492835129351523
adeghi-logROC,0.6833649681429482
adeghi-gbtROC,0.7028075813062873
adefi-logACC,0.5900073751385226
adefi-gbtACC,0.6045202052046315
adefi-logROC,0.6217717390265864
adefi-gbtROC,0.6433873622059865
adefh-logACC,0.6307047365203103
adefh-gbtACC,0.6365625549314073
adefh-logROC,0.679186944941523
adefh-gbtROC,0.684536822804362
adefhi-logACC,0.6306610206733158
adefhi-gbtACC,0.6408901753983721
adefhi-logROC,0.6806091011876694
adefhi-gbtROC,0.6906952436800712
adefg-logACC,0.5907065516450762
adefg-gbtACC,0.6083233883602737
adefg-logROC,0.6251297956284774
adefg-gbtROC,0.6514370020860175
adefgi-logACC,0.5953401925942909
adefgi-gbtACC,0.612476059459666
adefgi-logROC,0.6260008463417783
adefgi-gbtROC,0.6547704748749531
adefgh-logACC,0.6347265275707898
adefgh-gbtACC,0.6436442833123162
adefgh-logROC,0.6815157315053663
adefgh-gbtROC,0.6945356820243374
adefghi-logACC,0.6339834250449004
adefghi-gbtACC,0.6483653081890786
adefghi-logROC,0.6829770932622609
adefghi-gbtROC,0.6992740516599862
acghi-logACC,0.6317977759944973
acghi-gbtACC,0.636999722954641
acghi-logROC,0.6598302930425064
acghi-gbtROC,0.6738960112583482
acfhi-logACC,0.6350762447934579
acfhi-gbtACC,0.6356445699109633
acfhi-logROC,0.6773566997741275
acfhi-gbtROC,0.687095959551598
acfgi-logACC,0.5785100787190951
acfgi-gbtACC,0.6046949826130155
acfgi-logROC,0.6143929490203351
acfgi-gbtROC,0.6446609067247038
acfgh-logACC,0.6369121575146165
acfgh-gbtACC,0.6351199606404524
acfgh-logROC,0.6794581017543206
acfgh-gbtROC,0.6859966003482665
acfghi-logACC,0.6371744334900072
acfghi-gbtACC,0.6414585387290306
acfghi-logROC,0.6794832788693114
acfghi-gbtROC,0.6926014831270593
acehi-logACC,0.6364749417249417
acehi-gbtACC,0.6439063013489242
acehi-logROC,0.6808346826032169
acehi-gbtROC,0.6948354752324177
acegi-logACC,0.5898757785929918
acegi-gbtACC,0.6137000363024953
acegi-logROC,0.6241432675177507
acegi-gbtROC,0.6590864179719116
acegh-logACC,0.6373489816194734
acegh-gbtACC,0.6471411593870611
acegh-logROC,0.6831130863377692
acegh-gbtROC,0.6939038500284512
aceghi-logACC,0.6376550403148764
aceghi-gbtACC,0.648540066490886
aceghi-logROC,0.6828291753353758
aceghi-gbtROC,0.7000221128459589
acefi-logACC,0.5823131472352784
acefi-gbtACC,0.6042139936566165
acefi-logROC,0.6192013501047874
acefi-gbtROC,0.6469913606934545
acefh-logACC,0.6342455290611028
acefh-gbtACC,0.6376548492491115
acefh-logROC,0.680928277026647
acefh-gbtROC,0.6852797206121538
acefhi-logACC,0.6354257996102259
acefhi-gbtACC,0.6405838874240514
acefhi-logROC,0.6806718733064263
acefhi-gbtROC,0.691521472901991
acefg-logACC,0.5841055733883602
acefg-gbtACC,0.6080609690855592
acefg-logROC,0.6220281281631639
acefg-gbtROC,0.6492537691197343
acefgi-logACC,0.5892636038824562
acefgi-gbtACC,0.6105963544652069
acefgi-logROC,0.623978337261404
acefgi-gbtROC,0.6553547832792554
acefgh-logACC,0.6364748652986358
acefgh-gbtACC,0.6445183041002713
acefgh-logROC,0.6829479233027534
acefgh-gbtROC,0.6909283108730615
acefghi-logACC,0.6368245443081508
acefghi-gbtACC,0.648496446176774
acefghi-logROC,0.6826698603747487
acefghi-gbtROC,0.6965627623335165
acdhi-logACC,0.6308359127211587
acdhi-gbtACC,0.638923038709924
acdhi-logROC,0.6732807966975998
acdhi-gbtROC,0.6885263987809461
acdgi-logACC,0.5528502617600979
acdgi-gbtACC,0.5716915052160954
acdgi-logROC,0.5642508308396829
acdgi-gbtROC,0.6075360369795249
acdgh-logACC,0.6325409549466926
acdgh-gbtACC,0.63835508617066
